pole_id,height_id,surface_density,middle_density,interior_density,height,diameter
0,0,15690.390625,17969.615234375,16935.525390625,98,19
0,1,15446.1904296875,17357.75390625,16006.70703125,98,19
0,2,15444.64453125,17318.431640625,16956.673828125,98,19
0,3,15549.80078125,17493.2421875,16444.6171875,98,19
0,4,15488.2880859375,17294.349609375,16623.06640625,98,19
0,5,15514.4404296875,17500.580078125,16797.953125,98,19
0,6,15560.0751953125,17273.2890625,16686.794921875,98,19
0,7,15692.88671875,17374.05859375,16728.275390625,98,19
0,8,15721.51953125,17376.0546875,16766.12890625,98,19
0,9,15949.5166015625,17816.333984375,17130.17578125,98,19
5,0,16812.47265625,18019.328125,18517.07421875,98.5,22
5,1,18278.166015625,19527.13671875,18273.185546875,98.5,22
5,2,17831.080078125,18795.05078125,18128.6484375,98.5,22
5,3,17351.369140625,18327.18359375,18009.05859375,98.5,22
5,4,16887.1875,18483.263671875,18101.826171875,98.5,22
5,5,15709.525390625,18293.291015625,17782.3984375,98.5,22
5,6,16006.1123046875,18125.775390625,17605.890625,98.5,22
5,7,16434.2734375,18003.6875,17657.0546875,98.5,22
5,8,16502.18359375,18245.51171875,17692.119140625,98.5,22
5,9,15502.71875,18020.724609375,17283.21875,98.5,22
6,0,16380.72265625,17521.53515625,17925.2734375,102.5,23
6,1,16380.7001953125,17278.16796875,18511.875,102.5,23
6,2,15940.6728515625,16817.552734375,18129.560546875,102.5,23
6,3,15090.47265625,16595.791015625,18064.41015625,102.5,23
6,4,14088.41796875,16609.6640625,18647.486328125,102.5,23
6,5,13877.001953125,16567.259765625,18621.541015625,102.5,23
6,6,14565.8720703125,17325.3203125,18965.7734375,102.5,23
6,7,15027.744140625,17233.18359375,18406.671875,102.5,23
6,8,15614.2138671875,17459.244140625,18465.513671875,102.5,23
6,9,16139.1796875,17795.1328125,18191.2265625,102.5,23
30,0,16517.27734375,16933.341796875,17128.00390625,107,23.5
30,1,15927.9853515625,16502.3984375,16993.0625,107,23.5
30,2,15477.2802734375,16139.37890625,16764.54296875,107,23.5
30,3,15394.458984375,15783.1337890625,16448.08203125,107,23.5
30,4,15468.9052734375,15835.134765625,16474.150390625,107,23.5
30,5,15935.3681640625,16302.509765625,16387.966796875,107,23.5
30,6,16207.9375,16318.9208984375,16104.3779296875,107,23.5
30,7,16049.658203125,15325.4755859375,15901.904296875,107,23.5
30,8,15874.7880859375,15015.4619140625,15763.041015625,107,23.5
30,9,16120.5712890625,15575.244140625,17784.791015625,107,23.5
41,0,20935.69921875,20746.5,21312.75390625,101.5,22.5
41,1,20640.171875,19992.765625,21306.3203125,101.5,22.5
41,2,20842.66796875,19690.90234375,21764.83984375,101.5,22.5
41,3,20889.99609375,19443.82421875,21385.869140625,101.5,22.5
41,4,21138.06640625,20088.884765625,21967.59765625,101.5,22.5
41,5,20908.01953125,20144.6484375,21547.0859375,101.5,22.5
41,6,20672.08203125,21651.634765625,22043.158203125,101.5,22.5
41,7,20851.984375,22126.8671875,21865.75390625,101.5,22.5
41,8,21160.900390625,21930.48828125,21665.224609375,101.5,22.5
41,9,21441.9375,22598.73828125,22592.146484375,101.5,22.5
